question,answer_agent,answer_orig,tool_calls,cost,document
Can the homework content change even after I see it on the course platform?,"Yes — the homework content can still change after you first see it on the course platform.

It’s considered **final only when both are true**:
- the homework form is open on the course management platform, and
- the homework title does **not** contain **`[DRAFT]`**

If either of those isn’t true yet, the content may still change, so working on it early is at your own risk.","If the homework title contains `[DRAFT]`, it means the homework is not ready yet.

The homework is ready only when both are true:

- The homework form is open on the course management platform.
- The homework title does not contain `[DRAFT]`.

Until then, the content can still change. Working on the material or homework in advance is at your own risk, because the final version can be different.","[{""name"": ""search"", ""arguments"": ""{\""query\"":\""homework content change after seen on course platform\""}""}]",0.001413,96286b4be4
When is the next run of the course planned for?,The course is planned to be offered next in **Summer 2027**.,Summer 2027.,"[{""name"": ""search"", ""arguments"": ""{\""query\"":\""next run course planned for when next cohort dates\""}""}]",0.0008115,bd31146b0e
Do you know when the course will be offered again after this session?,The course is scheduled to be offered again in **Summer 2027**.,Summer 2027.,"[{""name"": ""search"", ""arguments"": ""{\""query\"":\""course offered again after this session next offering when will course be offered again future sessions\""}""}]",0.00095175,bd31146b0e
Is there a date for the next course offering yet?,Yes — the FAQ says the next offering is **Summer 2027**.,Summer 2027.,"[{""name"": ""search"", ""arguments"": ""{\""query\"":\""next course offering date\""}""}]",0.0008265,bd31146b0e
When should I expect the next course to start?,The next offering of the course is expected in **Summer 2027**.,Summer 2027.,"[{""name"": ""search"", ""arguments"": ""{\""query\"":\""next course start date when should I expect the next course to start\""}""}]",0.0009060,bd31146b0e
Will the course be available again in Summer 2027?,"Yes — according to the course FAQ, the next offering is **Summer 2027**.",Summer 2027.,"[{""name"": ""search"", ""arguments"": ""{\""query\"":\""Will the course be available again in Summer 2027? availability summer 2027 course repeat future offering\""}""}]",0.0009525,bd31146b0e
Where can I find the lecture videos for this course?,"You can find the lecture videos in the **LLM Zoomcamp GitHub repository**. Open the **lesson folders**, and each lesson page has the relevant videos linked at the top.

Best starting point:
- https://github.com/DataTalksClub/llm-zoomcamp

If there’s any mismatch, use the GitHub repo first, since it’s usually more up to date than the YouTube playlist.","Use the [LLM Zoomcamp GitHub repository](https://github.com/DataTalksClub/llm-zoomcamp) as the main entry point.

Open the lesson folders in the repo. Each lesson page has the relevant videos linked at the top.

<{IMAGE:lessons}>

When in doubt, follow the GitHub repo first, because it is easier to keep updated than the YouTube playlist.","[{""name"": ""search"", ""arguments"": ""{\""query\"":\""lecture videos course where find\""}""}]",0.0012555,31456f4b5f
Is there a main place to start from for all the lesson materials and videos?,"Yes — the main entry point is the **LLM Zoomcamp GitHub repository**:

- https://github.com/DataTalksClub/llm-zoomcamp

Each lesson folder has the relevant materials, and the **videos are linked at the top of each lesson page**. If you’re unsure where to begin, also check:

- https://datatalks.club/docs/courses/llm-zoomcamp/
- https://datatalks.club/docs/courses/zoomcamp-logistics/

A good workflow is:
1. Watch the lesson videos
2. Work through the notebooks/code
3. Read the homework instructions on GitHub
4. Submit via the course platform before the deadline

If you want, I can also point you to the specific starting folder for the current cohort.","Use the [LLM Zoomcamp GitHub repository](https://github.com/DataTalksClub/llm-zoomcamp) as the main entry point.

Open the lesson folders in the repo. Each lesson page has the relevant videos linked at the top.

<{IMAGE:lessons}>

When in doubt, follow the GitHub repo first, because it is easier to keep updated than the YouTube playlist.","[{""name"": ""search"", ""arguments"": ""{\""query\"":\""main place start lesson materials videos course homepage start here\""}""}]",0.00171225,31456f4b5f
"Do I need to use YouTube, or is there a better source for the videos?","You don’t need to rely on YouTube as the main source.

The FAQ says to use the **LLM Zoomcamp GitHub repository** as the main entry point. Each lesson folder has the relevant videos linked at the top, and **when in doubt, follow the GitHub repo first**, since it’s easier to keep updated than the YouTube playlist.

So the best source is:
- **GitHub repo / lesson pages first**
- YouTube links are secondary and linked from there","Use the [LLM Zoomcamp GitHub repository](https://github.com/DataTalksClub/llm-zoomcamp) as the main entry point.

Open the lesson folders in the repo. Each lesson page has the relevant videos linked at the top.

<{IMAGE:lessons}>

When in doubt, follow the GitHub repo first, because it is easier to keep updated than the YouTube playlist.","[{""name"": ""search"", ""arguments"": ""{\""query\"":\""YouTube better source videos course platform preferred video source\""}""}]",0.0014295,31456f4b5f
How do I get to the videos for each lesson in the repo?,"Use the **LLM Zoomcamp GitHub repo** as the main entry point:  
https://github.com/DataTalksClub/llm-zoomcamp

Then open the **lesson folders** in the repo — each lesson page has the relevant **videos linked at the top**. If you’re unsure, follow the GitHub repo first, since it’s usually more up to date than the YouTube playlist.","Use the [LLM Zoomcamp GitHub repository](https://github.com/DataTalksClub/llm-zoomcamp) as the main entry point.

Open the lesson folders in the repo. Each lesson page has the relevant videos linked at the top.

<{IMAGE:lessons}>

When in doubt, follow the GitHub repo first, because it is easier to keep updated than the YouTube playlist.","[{""name"": ""search"", ""arguments"": ""{\""query\"":\""videos for each lesson repo access lesson videos\""}""}]",0.0014805,31456f4b5f
What’s the most up-to-date place to check for the course lectures?,"The most up-to-date place is the **LLM Zoomcamp GitHub repository**:  
https://github.com/DataTalksClub/llm-zoomcamp

Open the lesson folders there—each lesson page has the relevant videos linked at the top. The FAQ says to **follow the GitHub repo first**, since it’s easier to keep updated than the YouTube playlist.","Use the [LLM Zoomcamp GitHub repository](https://github.com/DataTalksClub/llm-zoomcamp) as the main entry point.

Open the lesson folders in the repo. Each lesson page has the relevant videos linked at the top.

<{IMAGE:lessons}>

When in doubt, follow the GitHub repo first, because it is easier to keep updated than the YouTube playlist.","[{""name"": ""search"", ""arguments"": ""{\""query\"":\""most up-to-date place to check for course lectures\""}""}]",0.0011640,31456f4b5f
