question,document
Could a bad base64 encode be the reason my secret works in the shell but fails in the flow?,c8ca21af33
"Do I need to restart Kestra after setting the API key, or is exporting it once enough?",c8ca21af33
"Should I use SECRET_GEMINI_API_KEY inside the flow, or do I reference it some other way?",c8ca21af33
Is there a cleaner way to load Gemini and other API keys into Kestra besides exporting them manually?,c8ca21af33
Why can't I just use a notebook for AI workflows instead of an orchestrator like Kestra?,193612db63
What does Kestra add that a simple script or notebook doesn't give me?,193612db63
"In this module, why is Kestra used for things like AI Copilot, RAG, and agents?",193612db63
"What makes orchestration important for production AI pipelines, not just experimentation?",193612db63
"Can I switch between OpenAI, Gemini, or Anthropic in a Kestra flow without rewriting the rest of it?",193612db63
"Do I have to use Kestra for the whole LLM Zoomcamp, or can I switch to Airflow or Prefect later?",cce328db64
"For the capstone project, is an orchestrator required, or is a simple Python script enough to get full credit on ingestion?",cce328db64
"If I already know Airflow, do I still need to do the Kestra part in Module 3, or can I skip it?",cce328db64
Can I use Dagster or no orchestrator at all for the project and still meet the pipeline requirement?,cce328db64
"Does Kestra only work with OpenAI, or can I plug in Gemini, Anthropic, or other AI providers too?",cce328db64
"Does Kestra work with Groq, Ollama, or even a local model, or is it basically Gemini-only?",f442efe5b4
"If I want to switch from Gemini to another AI provider in a Kestra flow, do I need to rewrite the workflow or just change the provider settings?",f442efe5b4
"Which AI providers are supported in Kestra besides Gemini and OpenAI, and is there a full list somewhere?",f442efe5b4
Should I use the generic AI plugin or the provider-specific ones in Kestra if I want vendor features like Gemini video generation?,f442efe5b4
How do I connect an OpenAI-compatible service like Groq or DeepSeek in Kestra if it doesn’t have its own plugin?,f442efe5b4
"Is there a way to build a Kestra flow without typing YAML by hand, like through a form or something else?",bfe5502c30
How does the AI Copilot help if I want to create a workflow in Kestra from plain English instead of editing code?,bfe5502c30
"Can I use external tools like Claude Code, Codex, or Kestra CTL to create and send flows to Kestra directly from my editor?",bfe5502c30
What’s the main difference between how Kestra and Airflow handle my script and the orchestration part?,bfe5502c30
"For a really simple automation, would Zapier or n8n make more sense than Kestra, or is Kestra still worth it?",bfe5502c30
Why does ChatGPT sometimes make up Kestra YAML fields that don't actually exist?,93a3e8b98c
How can I tell if a Kestra flow generated by AI uses the right plugin properties?,93a3e8b98c
What’s the real property for uploading a file to GCS in Kestra instead of bucket/name?,93a3e8b98c
"For Kestra BigQuery LoadFromGcs, should I set projectId/dataset/table or use destinationTable?",93a3e8b98c
How do I avoid wrong YAML when asking an AI to generate Kestra flows?,93a3e8b98c
Why do we need to track token usage in Kestra flows when using LLMs?,a4adc70f41
How does monitoring tokens help with controlling costs in scheduled or looping AI workflows?,a4adc70f41
Can token counts be used to improve prompts and cut down extra spend?,a4adc70f41
What’s the point of setting alerts or limits on token usage in a long-running Kestra pipeline?,a4adc70f41
How do you usually get token usage from an LLM response and check it in logs or metrics?,a4adc70f41
"Why am I getting ""mounts denied: The path /tmp/... is not shared from the host"" when I start my container?",dd8b4c9fda
How do I let Docker Desktop use a host folder like /tmp or /tmp/kestra-wd for a volume mount?,dd8b4c9fda
What’s the fix if Docker says the path I’m mounting is not shared from the host?,dd8b4c9fda
"In Docker Desktop, where do I add /tmp so a compose file can mount it without errors?",dd8b4c9fda
"After I change the file sharing settings in Docker Desktop, do I need to restart anything before running docker compose again?",dd8b4c9fda
"In the Kestra flow, Gemini keeps giving a 404 NOT_FOUND and says the model is unavailable — what should I change in the YAML?",d51bbe2da0
"If a course workflow suddenly fails because the Gemini model ID isn’t available anymore, do I need to use a different model name or is there another fix?",d51bbe2da0
"Where do I update the Gemini model setting in this setup: the Kestra YAML file or the docker-compose config, and do I need to restart anything after that?",d51bbe2da0
How do I know which Gemini model ids are currently supported for my account so I can replace the one that throws 404?,d51bbe2da0
"Should I assume the Gemini model was shut down forever when I see a temporary 404 error, or is it usually just an availability issue?",d51bbe2da0
"For the Module 3 Kestra homework, what am I supposed to upload if I did almost everything in the Kestra UI?",f29f622684
"Do I need to put the Kestra flow files in a public GitHub repo for the homework submission, or is the form answer enough?",f29f622684
"Since the work was done inside Kestra, what exactly counts as the code I should submit for module 3?",f29f622684
"Should I export the flows from Kestra and include them in my repo, and do I also need the scripts they use?",f29f622684
"Is a README required for the Module 3 homework repo, or can I just submit the flow YAML files?",f29f622684
Why am I getting JSONDecodeError: Expecting value when I try to parse the LLM response for ground-truth questions?,a3c7e1b4f9
How can I make the model return only valid JSON instead of markdown fences or extra text?,a3c7e1b4f9
What prompt should I use so the LLM outputs a JSON object with exactly 5 question strings?,a3c7e1b4f9
Is there a way to force OpenAI chat completions to give me JSON I can safely pass to json.loads()?,a3c7e1b4f9
Do other LLM providers have something like response_format for getting clean JSON output?,a3c7e1b4f9
Why does my Jupyter notebook crash when I try to embed the ground-truth set in module 4?,b8f2d6a30c
What can I do if the kernel runs out of memory while loading an embedding model and evaluating the dataset?,b8f2d6a30c
Is there a smaller sentence-transformers model I can use instead of the default embedder to avoid RAM issues?,b8f2d6a30c
How do I run the embedding step outside the notebook and then bring the vectors back in?,b8f2d6a30c
Can I fix the memory problem in Codespaces by changing the machine type or processing the data in batches?,b8f2d6a30c
"I'm generating the ground-truth data with Gemini and keep getting rate-limited. I already added `time.sleep(4)`, but it still fails during a long `tqdm` run. Why is that happening?",c1e9f4b820
What should I do if the free Gemini quota gets exhausted while I'm building the dataset? Are there better model options for this task?,c1e9f4b820
"Is it worth switching to OpenAI for this part, and if so, which model would you recommend for cheap large-scale generation?",c1e9f4b820
How can I make thread-pool calls less aggressive so I don't hit the API too hard during dataset creation?,c1e9f4b820
"If the process gets interrupted by a quota limit, what's the best way to continue without losing all the partial results?",c1e9f4b820
"Why do the Module 4 lesson files jump from 06 to 11, is something missing?",57c8d3a1e4
How is Module 4 split up if the filenames go 01–06 and then 11–15?,57c8d3a1e4
"Should I expect lessons 07, 08, 09, and 10 in Module 4, or is the numbering intentional?",57c8d3a1e4
What does it mean when Module 4 filenames look like 0.1–0.6 and then 1.1–1.5?,57c8d3a1e4
Why does 06-search-tuning.md come before 11-evaluation-intro.md in Module 4?,57c8d3a1e4
Why would MRR go up if the Hit Rate number doesn't change at all?,8a5ece0688
Can the first relevant document move higher in the ranked list without affecting Hit Rate?,8a5ece0688
"If my final Hit Rate and MRR are exactly the same, does that mean my eval code is wrong?",8a5ece0688
What should I check in the metric code when MRR and Hit Rate look unexpectedly equal?,8a5ece0688
How can reranking or chunking improve MRR but leave Hit Rate unchanged?,8a5ece0688
Where can I find the code for the agent evaluation lesson in Module 4?,4de1cb9a3f
Is there a notebook or code folder for the agent-evaluation part of the course?,4de1cb9a3f
What’s the GitHub path for the agent evaluation code in llm-zoomcamp?,4de1cb9a3f
"Which lesson file covers agent evaluation, and where is the related code stored?",4de1cb9a3f
Can someone point me to the notebook or source files used in the agent-evaluation lesson?,4de1cb9a3f
How do I fix the WinError 126 when Python says it can’t load fbgemm.dll on Windows?,15e931476c
"I’m getting an OSError about ""torch\lib\fbgemm.dll"" missing on Windows 10/11 — what should I install to solve it?",15e931476c
"Why does PyTorch fail with ""The specified module could not be found"" for fbgemm.dll, and what’s the Windows fix?",15e931476c
Do I need Visual C++ Redistributable or Visual Studio itself when fbgemm.dll won’t load in Python on Windows?,15e931476c
What’s the difference between installing Visual Studio and Visual Studio Code for the torch fbgemm.dll dependency error?,15e931476c
"Why do I get `could not translate host name ""postgres""` when I run `python prep.py` in Module 5, and what should I change in the `.env` file?",4b65d5542d
My `prep.py` script throws a psycopg2 `OperationalError` about `postgres` not being found. What host value should I use instead?,4b65d5542d
"In the Monitoring section, how do I fix the database connection error saying the `postgres` host can’t be resolved?",4b65d5542d
I’m seeing `No such host is known` for `postgres` when preparing the data. Is there a simple `.env` fix for this?,4b65d5542d
What should `POSTGRES_HOST` be set to if `python prep.py` fails with a host lookup error for `postgres`?,4b65d5542d
How can I make Pandas stop cutting off long text in a column and show the full content?,641aedbbf5
What setting do I change if I want the whole Explanation text visible in the offline-rag-evaluation notebook?,641aedbbf5
"Why does Pandas only show part of a long column value, and how do I view everything?",641aedbbf5
Is there a way to disable the 50-character truncation for text columns in Pandas?,641aedbbf5
What code should I use to display the full judge LLM explanation instead of the shortened version?,641aedbbf5
How do I normalize vectors stored in a Pandas DataFrame column?,5039707c1a
What's a simple way to normalize each vector in a Pandas Series?,5039707c1a
Can I use apply to normalize vectors in one DataFrame column?,5039707c1a
How would I divide each vector by its norm in Pandas?,5039707c1a
Is there a quick NumPy + Pandas trick for normalizing vectors in a column?,5039707c1a
How do I get the 75th percentile from a pandas DataFrame column?,b4c8ac5a0c
What's the easiest way to calculate a 0.75 quantile in pandas?,b4c8ac5a0c
How can I find a column's percentile value using a Pandas Series?,b4c8ac5a0c
Is there a simple pandas method for computing a quantile from a DataFrame column?,b4c8ac5a0c
How do I use pandas to get the 75% percentile for one column?,b4c8ac5a0c
"How do I force-remove every Docker container, even the ones still running, from the terminal?",66ccbb7da0
What command can I use to delete all Docker images at once?,66ccbb7da0
How can I wipe out all Docker volumes from the command line?,66ccbb7da0
"Is there a quick way to clean up every container, image, and volume in Docker using terminal commands?",66ccbb7da0
"What commands should I run to completely clear Docker containers, images, and volumes from my machine?",66ccbb7da0
"How can I make sure a user can only leave one feedback vote, either +1 or -1, for each submission in Streamlit?",2e729f1271
Why does `st.session.submitted` keep getting set back to True even after I click a feedback button?,2e729f1271
"In Streamlit, what's the best way to stop feedback buttons from being clickable after the ask button is used?",2e729f1271
Is there a known fix for session state attributes being reassigned unexpectedly in Streamlit?,2e729f1271
Where can I find the solution for the issue where Streamlit session values change again after feedback is pressed?,2e729f1271
"Why am I getting no spans in my SQLite exporter, or seeing the error ""Overriding of current TracerProvider is not allowed""?",ba1d5f13e7
"In a notebook, why doesn’t creating a new TracerProvider and calling trace.set_tracer_provider() again switch my exporter?",ba1d5f13e7
Why does my traces.db stay empty even after I added a new exporter setup cell?,ba1d5f13e7
How should I fix the OpenTelemetry provider issue in a notebook — do I need to restart the kernel or rerun the setup cells in order?,ba1d5f13e7
"If I really want a separate provider for manual spans, how do I get a tracer from that provider instead of using the global one?",ba1d5f13e7
Why am I getting a `RecursionError` or my script just hangs when I start OpenTelemetry with `ConsoleSpanExporter` in Module 5 homework?,702399225b
Do I need to update `opentelemetry-api` and `opentelemetry-sdk` before running the homework on Python 3.14?,702399225b
How can I check which OpenTelemetry versions my project is actually using?,702399225b
"If I can’t upgrade OpenTelemetry, is switching to Python 3.13 the only workaround for the homework?",702399225b
"For the SQLite part, can I use a simple custom exporter, or do I need the full `SQLiteSpanExporter` with `shutdown()` and `force_flush()`?",702399225b
How can I use Groq or Gemini for the monitoring homework without editing starter.py to fake an OpenAI key?,01517c80df
"What changes do I need in RAGWithMetrics if my provider only supports OpenAI-style chat completions, not the Responses API?",01517c80df
Where do I get the token counts and the assistant reply from a chat.completions response in this homework?,01517c80df
"Why is cost set to 0.0 in the logging record when using another provider, and how should I handle pricing instead?",01517c80df
"If my provider says the prompt is too long right away, what should I change so the request fits instead of just retrying?",01517c80df
"Why do I get `exec: ""streamlit"": executable file not found in $PATH` when I start my app with docker-compose, even though it works locally?",e8df9f0d12
What am I missing in my Docker setup if streamlit runs outside Docker but fails with that OCI runtime error in compose?,e8df9f0d12
How do I fix the container start error saying streamlit can’t be found in $PATH when using docker-compose?,e8df9f0d12
Do I need a Dockerfile or something extra in docker-compose to run a Streamlit app in a container?,e8df9f0d12
"After changing my compose config for a Streamlit app, what command should I use to rebuild and start it again?",e8df9f0d12
"Can I do the capstone together with a classmate, or does every person need their own project?",0fab61eca2
"If two students work on the same system, is that allowed for the capstone?",0fab61eca2
Am I allowed to discuss or plan a bigger idea with others and still submit my own project?,0fab61eca2
What counts as an acceptable shared project setup for the capstone?,0fab61eca2
"Does the project need to be separately evaluable for each student, or can we submit one joint repo?",0fab61eca2
"Do I actually need to submit two capstone projects, or is one project enough for the course?",d5fc98925d
What do the first and second submission attempts mean for the capstone project?,d5fc98925d
"If my first project submission doesn’t pass, can I fix it and send it again in the next window?",d5fc98925d
"Can I turn in a second project just for practice, and if so, does it need a totally different dataset and problem?",d5fc98925d
"What happens if I miss the first submission deadline for the capstone—can I still submit in the second attempt, and will it count if I skip peer review?",d5fc98925d
"Can I use the competition itself as my capstone project, or are they separate things?",e892d44e42
"If I join the math-kaggle-llm competition with other people, does that still count toward the capstone?",e892d44e42
Is the capstone in this course supposed to be done individually even if I compete in a team?,e892d44e42
Can I take part in the LLM competition and still do a separate capstone project on my own?,e892d44e42
Does being in a competition group change how the capstone is graded or submitted?,e892d44e42
How will my capstone project be graded in the end?,9a2e2d2008
Who actually reviews the submitted capstone projects?,9a2e2d2008
Do I need to review other students' projects too?,9a2e2d2008
What happens if I don't do the required peer grading?,9a2e2d2008
Is the final capstone score based on an average or something else?,9a2e2d2008
How do I find out which project I need to review after submissions close?,eae0fb50aa
"Do I have to sign up somewhere to get peer-review assignments, or is it automatic?",eae0fb50aa
"Can I choose which capstone projects I review, or are they assigned for me?",eae0fb50aa
Where can I see my peer-review deadline for the capstone project?,eae0fb50aa
"Once project submissions are closed, what happens next with grading and project review assignments?",eae0fb50aa
Why can’t I review any projects after I’ve already submitted mine?,a8a7fef016
When do project reviews become available after the deadline?,a8a7fef016
"Do I get to pick which projects I evaluate, or are they assigned?",a8a7fef016
Is there a way to start reviewing projects before the list is released?,a8a7fef016
"I turned in my capstone already, so why am I still not seeing any projects to review?",a8a7fef016
Where can I look for project ideas and datasets for the capstone?,e76a70cde3
Is there a page with examples of datasets I can use for the project?,e76a70cde3
Do you have a link that lists some ideas and tips for the capstone project?,e76a70cde3
I’m stuck on picking a topic — where can I find inspiration and dataset suggestions?,e76a70cde3
"What’s the best place to check for project ideas, datasets, and guidelines?",e76a70cde3
"Do I actually need Airflow, Mage, or Kestra for the capstone project, or is a simple Python script enough?",d4f7c08ea1
"If I build the ingestion and indexing in plain Python, will that still get full points for the ingestion pipeline part?",d4f7c08ea1
"Can I use a Jupyter notebook instead of an orchestration tool for the project, and how is it scored?",d4f7c08ea1
When would it make sense to add an orchestrator to the capstone instead of just using Python scripts?,d4f7c08ea1
"Should I include an orchestration tool just to satisfy the project criteria, or only if my data ingestion needs it?",d4f7c08ea1
How can I evaluate a recommender-style RAG when there isn’t any obvious ground truth Q&A data?,9b0e2d6a47
What’s a good way to create synthetic test queries for a retrieval system if I want to measure hit rate or MRR?,9b0e2d6a47
"Can I use an LLM to judge the quality of my RAG outputs, and how would I set up the rubric?",9b0e2d6a47
"For ranking-style recommender tasks, is NDCG better than hit rate, and why?",9b0e2d6a47
"If multiple items could be correct for a query, what evaluation metric should I use for my RAG project?",9b0e2d6a47
How should I chunk a huge corpus of long PDFs and lots of paragraphs for my capstone search app?,6f2a8b3d10
Is it better to start with simple fixed-size chunks or use an LLM to split documents into sections right away?,6f2a8b3d10
"Would adding a short summary for every chunk actually help retrieval, and where should I use it?",6f2a8b3d10
"For long structured docs like legal or financial files, should I use BM25 plus dense vectors instead of only semantic search?",6f2a8b3d10
What tools do you recommend for turning PDFs into cleaner markdown before I chunk them?,6f2a8b3d10
What does reproducibility actually mean for the capstone project — do I need to give reviewers my API keys?,e5d8a2c761
How should I set up my repo so someone can clone it and rebuild the search index from scratch?,e5d8a2c761
"Should I include my real credentials in the project, or is there a safer way to handle env vars?",e5d8a2c761
"What file should I provide for API keys and secrets, and what should be left out of git?",e5d8a2c761
Do I need to pin package versions and mention Python or Docker versions for the project to be reproducible?,e5d8a2c761
"Can I do the homework and the capstone project in a language other than Python, like JavaScript, Go, Rust, or Java?",ea815eb858
"If I use a non-Python stack for the project, what kind of explanation or README do I need to provide?",ea815eb858
Why does the course say Python is the easiest option for assignments and the final project?,ea815eb858
Would a project built in Go or another language still be accepted if I make it easy to run and review?,ea815eb858
What should the setup instructions look like if I submit the homework or project with something like Go instead of Python?,ea815eb858
Where do I look to see past LLM Zoomcamp capstone projects?,930286278d
Is there a page with 2024 LLM Zoomcamp project submissions?,930286278d
Can I browse 2025 LLM Zoomcamp projects somewhere?,930286278d
Where can I find examples of submitted capstone repos for this course?,930286278d
Do you have links to previous LLM Zoomcamp projects so I can check the expected level?,930286278d
Do I need to reserve my capstone project idea before I start working on it?,897a350476
"Is there any requirement to announce my project topic first, or can I just begin?",897a350476
Can I ask for feedback on my project idea in Slack before I start?,897a350476
Are projects similar to ones from previous years allowed if I build it myself?,897a350476
Where can I check old capstone projects to get a sense of the right scope?,897a350476
Can I build my capstone as a Telegram or WhatsApp bot instead of a website?,7318a90b14
"Is a web app required for the project, or can I use something else like a CLI or Slack app?",7318a90b14
Does the course care what kind of interface I choose for the final project?,7318a90b14
"If I want to ship my project as a notebook or chat bot, is that okay?",7318a90b14
Will the course show me how to make Telegram/WhatsApp/Slack interfaces for the capstone?,7318a90b14
"What’s the best tool to pull text out of PDFs for a RAG app, especially if the docs are messy or scanned?",d8b28c47a0
"Do we need to use a specific library in the course for PDF text extraction, or can we pick whatever works?",d8b28c47a0
"If my PDFs are just images and there’s no text layer, what should I use to get the text out?",d8b28c47a0
Is there a good OCR option I can call as an API instead of running everything locally?,d8b28c47a0
What tools are people using for converting PDFs into Markdown or JSON before chunking them for retrieval?,d8b28c47a0
Do we need a minimum number of rows or documents for the capstone project dataset?,f0439b5faf
"Is there any required dataset size for the LLM Zoomcamp capstone, or can it be small?",f0439b5faf
How much data should I use for the capstone project if there’s no minimum dataset size?,f0439b5faf
Will my capstone be judged based on how many documents I have in the dataset?,f0439b5faf
What should I consider when choosing dataset size for the capstone project?,f0439b5faf
"For the capstone, does my data have to be pulled from a live API, or can I just use a file or dataset I made myself?",2cf500aae6
Is it okay to build the project from a static file instead of an API source?,2cf500aae6
"If I use API-backed data, do I still need to make it easy for reviewers to reproduce the knowledge base?",2cf500aae6
What do I need to provide so the capstone is reproducible for full points?,2cf500aae6
"Are there specific ingestion or reproducibility rules for the project data, and where can I check them?",2cf500aae6
"Can I build the capstone project with a dataset in another language, or does it have to be English?",5ffe92bb02
Is it okay if my app responses are not in English for the capstone?,5ffe92bb02
"Do I need to write everything in English for the capstone project, or only the README and setup guide?",5ffe92bb02
"If I use a non-English dataset, what parts of the project should still be in English so reviewers can test it?",5ffe92bb02
"For the capstone, can the data and outputs be in a different language as long as the instructions are in English?",5ffe92bb02
"Can I use structured data like tables or database schemas for the capstone, or does it have to be documents?",6baab508b1
"Is a document-style dataset required for the capstone project, or are records and table descriptions okay too?",6baab508b1
"If I build the capstone with database data instead of docs, will that still count as valid?",6baab508b1
"Does the capstone have to use a document corpus, or can I query structured data in a RAG/agent pipeline?",6baab508b1
"For the project, can I retrieve data from a database schema or rows and still meet the evaluation criteria?",6baab508b1
"Is it okay if I use Evidently in my capstone project, or is it not allowed?",ec22c5eb86
Can I build the capstone with Evidently as part of the stack?,ec22c5eb86
Does the capstone project permit using Evidently for monitoring or evaluation?,ec22c5eb86
Am I allowed to include Evidently in my project for the capstone?,ec22c5eb86
"For the capstone, is using Evidently acceptable?",ec22c5eb86
"Do I have to come up with a totally original idea for the capstone project, or can I build something that already exists?",4179bc68b6
Is it okay if my capstone project is based on an idea that has been done before?,4179bc68b6
"Can I implement an existing project idea for the capstone, as long as I do it myself?",4179bc68b6
"For the capstone, are we required to use a brand-new idea, or can we recreate something existing?",4179bc68b6
"Can I reuse a dataset from the course lectures or homework for my capstone project, or is that not allowed?",4179bc68b6
"Which commit hash do I need to enter in the project submission form — the current HEAD, or something else?",82207724ff
"If I push more changes after I submit, will the reviewer still see them, or only the commit I selected?",82207724ff
How do I find the short 7-character commit id on GitHub for my project?,82207724ff
"Is it okay to submit an older commit, or should I always use the latest commit on my main branch?",82207724ff
What command can I run locally to get the commit id I should paste into the form?,82207724ff
How much time do we usually get to finish peer reviews after project submissions close?,785b277339
When does the peer review period start for the capstone project?,785b277339
Where can I see the actual deadline for my assigned peer reviews?,785b277339
"Is the review window always exactly one week, or can it change a bit?",785b277339
What happens if I don't complete the peer reviews before the window closes?,785b277339
"Are ChatGPT, Claude, or Cursor okay to use when building the capstone project, or is that disallowed?",2fed4b176c
Can I use AI to help write the code for homework and the project in this course?,2fed4b176c
"Do I need to tell the reviewer if AI helped me choose things like chunking, retrieval, or the orchestrator?",2fed4b176c
What should I put in the README if AI influenced major decisions in my capstone?,2fed4b176c
Is there any special disclosure form or extra approval needed if I use AI tools on the project?,2fed4b176c
Where do I actually turn in my capstone project for the current cohort?,920bb7ead8
Is the capstone submission on the course platform or somewhere else?,920bb7ead8
Do peer reviews for the capstone also happen on the current cohort's platform?,920bb7ead8
Why do older cohort submission links seem closed when I try to submit my project?,920bb7ead8
Should I use the current cohort course management page instead of an old submission form?,920bb7ead8
"After I turn in my capstone, do I still need to do anything else to get the certificate, or is submission enough?",8471c98e1f
"Where do the peer review assignments show up, and do I need to sign up for them myself?",8471c98e1f
"Can I pick which capstone projects I review, or are the review tasks assigned automatically?",8471c98e1f
"Why is my capstone score still blank after submission, and when can I see the reviewers' comments?",8471c98e1f
"Should I resubmit my capstone if the score is empty before the review deadline, or will that just start a new review round?",8471c98e1f
Where do I find the capstone project submission deadline for my cohort?,670737acd7
Is the capstone due date listed somewhere on the course platform?,670737acd7
Should I check the current cohort page or an older cohort page for the project deadline?,670737acd7
Do attempt 1 and attempt 2 have the same capstone deadlines for every cohort?,670737acd7
Why can't I just use the deadline from a past cohort for the capstone project?,670737acd7
"Can I use the workshop content in my own capstone project, or is it only for the class?",d850a0e7ea
Is it okay to reuse the dlt workshop materials for other projects outside this workshop?,d850a0e7ea
"Since dlt is open source, can I apply it to something like an MLOps Zoomcamp project?",d850a0e7ea
Am I allowed to build on this workshop content for my own work and not just follow the exercises?,d850a0e7ea
"If I have questions while using dlt in my project, can I still ask about it even outside the workshop?",d850a0e7ea
How do I create a fresh dlt project for loading files from the cloud?,6bceeebf04
What command should I run to initialize a filesystem to DuckDB dlt pipeline?,6bceeebf04
"If I want to start a new dlt setup for cloud data, what’s the init command?",6bceeebf04
How can I bootstrap a dlt project that reads from a filesystem and loads into DuckDB?,6bceeebf04
What’s the quickest way to get a new dlt project running for cloud-based file loading?,6bceeebf04
Why do I get `Table notion_pages___homework does not exist` when I try to open it in dlt?,0407213397
"I changed the table name to `notion_pages___homework`, but now `db.open_table(...)` fails — what am I missing?",0407213397
How do I fix the `FileNotFoundError` saying the homework table doesn’t exist in my pipeline?,0407213397
"I can open `notion_pages___employee_handbook` before, but after renaming to homework it breaks. What setting should I check?",0407213397
What causes dlt to still look for `employee_handbook` after I renamed everything to `homework`?,0407213397
Why am I getting FileNotFoundError: Table notion_pages___homework does not exist when I run main()?,e95bfafc0e
"In the dlt workshop, what should I put on line 3 to open the homework table correctly?",e95bfafc0e
I see an error saying the table doesn’t exist — is there a specific table name I need to use for notion pages homework?,e95bfafc0e
How do I fix the issue where db.create_table is suggested for notion_pages___homework even though I already have data?,e95bfafc0e
What is the correct way to open the notion_pages___homework table in the notebook code?,e95bfafc0e
How can I see all tables in the database?,e394e6f738
What method should I use to list the db tables?,e394e6f738
Is there a way to check which tables exist in the database?,e394e6f738
How do I get the names of every table in the db?,e394e6f738
What can I call to print all table names?,e394e6f738
Does dlt already support ClickHouse or StarRocks connectors?,cd19f122f3
Can I use dlt to load data into ClickHouse or StarRocks right now?,cd19f122f3
Are there any built-in connectors in dlt for ClickHouse and StarRocks?,cd19f122f3
"If dlt doesn't support ClickHouse or StarRocks yet, can the community add them?",cd19f122f3
Is there a plan or way to get ClickHouse or StarRocks connectors added to dlt?,cd19f122f3
Why do I get a 401 Unauthorized when the notebook calls the Notion search API?,0dfba07ace
"How can I fix the ""Notebook does not have secret access"" error in the dlt Notion setup?",0dfba07ace
What should I check if my Notion API request is failing because of authorization?,0dfba07ace
"Could this error be caused by a bad or expired Notion token, and how do I verify it?",0dfba07ace
Am I using the wrong Notion endpoint or missing permissions when the notebook can’t access the API?,0dfba07ace
How can I install the newer requests version from the source so it works with lancedb?,4b30b918bc
"Why does pip keep giving me requests 2.28 instead of the version lancedb needs, and what should I run instead?",4b30b918bc
Is there a command to force install requests 2.32.3 from GitHub rather than the older PyPI release?,4b30b918bc
I’m getting a 401 Client Error while setting this up — could that mean my key is wrong or access hasn’t been granted?,4b30b918bc
What’s the easiest way to get the exact requests version needed for this workshop without relying on the default install?,4b30b918bc
Why am I getting 401 Unauthorized with my EU Logfire token even though it should work with the SDK?,46efd1088d
"Do I need to set a Logfire base URL manually for EU tokens, or should the client detect the region itself?",46efd1088d
Could my `.env` file be ignored if there is already a `LOGFIRE_TOKEN` in the shell environment?,46efd1088d
"What’s the difference between `LOGFIRE_TOKEN` and `LOGFIRE_READ_TOKEN`, and which one should I use for `logfire.configure()`?",46efd1088d
"If my EU token keeps failing, what order should I check dotenv loading, token type, and SDK version in?",46efd1088d
How do I put JSONL logs from two different folders into one dlt pipeline without creating separate pipelines?,671f72f4c4
"If I have one log directory for Claude and another for Codex, can I load both into the same table in dlt?",671f72f4c4
What’s the dlt pattern for reading multiple filesystem sources and appending them together as agent logs?,671f72f4c4
"Can I use one pipeline for several JSONL directories, and how should I name the resources so they don’t clash?",671f72f4c4
"For agent logs with the same JSONL structure, is it okay to build multiple filesystem resources and run them together in one dlt pipeline?",671f72f4c4
"In the deploy lesson, my `dlt.attach()` example uses `agent_logs`, but my REST API pipeline seems different — what dataset name should I actually pass so the dashboard works?",c306f20bf3
"Where do I check the real dataset name for my deployed `rest_api_pipeline.py`, and how do I make sure it matches the `dlt.attach()` call?",c306f20bf3
"Why does the dashboard snippet with `dataset_name=""agent_logs""` fail for the REST API pipeline, and what should I replace it with?",c306f20bf3
"My pipeline writes to a different dataset than the filesystem example — how do I fix the `dlt.attach(""agent_traces"", ...)` line so it points to the right data?",c306f20bf3
"Is `agent_logs` only for the lesson 2 filesystem pipeline, and if so, what’s the correct dataset name for the lesson 4 REST API pipeline?",c306f20bf3
How do I switch `homework/agent.py` from OpenAI to Gemini in the dlt workshop?,dd53e420ef
What should I replace the `openai:` model string with if I want to use Gemini in `agent.py`?,dd53e420ef
"Do I need to edit the `SearchDeps`, instructions, or tool code when changing the agent to Gemini?",dd53e420ef
Which API key should I put in `.env` for the Gemini version of the agent?,dd53e420ef
Can I just change the provider line in `faq_agent` and keep the rest of the code the same?,dd53e420ef
Why is my dlt pipeline loading fewer spans or tokens than I expected from Logfire?,8ede00dc4c
Could the Query API be returning only part of the trace if I run the pipeline right after the agent finishes?,8ede00dc4c
How do I make sure Logfire is done exporting before I start ingestion?,8ede00dc4c
"Should I be checking a fixed number of spans in the workshop, or can that change from run to run?",8ede00dc4c
"For the token check, do I compare the model-call span input tokens with the top-level agent run aggregated usage?",8ede00dc4c
"Why does DuckDB throw an ""Ambiguous reference to catalog or schema"" error in my dlt pipeline, and what naming setup causes it?",8ca99429d0
What should I change in `pipeline_name` and `dataset_name` so dlt stops confusing DuckDB about catalog vs schema?,8ca99429d0
"Can I fix the DuckDB error by using a custom `.duckdb` file name, and how does that help?",8ca99429d0
"If I already loaded data into a different DuckDB database file, how do I make dlt use that one instead of creating a new empty file?",8ca99429d0
Is there an example of a dlt pipeline config that avoids the DuckDB catalog/schema name clash?,8ca99429d0
Where can I find the latest dlt workshop materials and the video link?,e00ceb24be
Is there a specific folder in the repo for the current Open-Source Data Ingestion workshop?,e00ceb24be
Where do I open the instructions and watch the workshop video for dlt?,e00ceb24be
Can someone point me to the 2026 dlt workshop directory in llm-zoomcamp?,e00ceb24be
What’s the path for the current dlt workshop resources and recording?,e00ceb24be
