question,answer_llm,answer_orig,document
Is it possible to turn in homework after the deadline if I miss it?,"Yes — if the submission form is still open, you can still submit after the deadline. Once the form is closed, late submissions are not accepted.","No. We don't give individual deadline extensions, and once the homework submission form is closed you can no longer submit it — there are no late submissions. While the form is still open you can submit, even if the listed deadline has already passed.

Missing a homework won't affect your certificate: homework isn't mandatory, only passing the Capstone project is. Homework points only count toward your leaderboard rank, so you'll still appear on the leaderboard with your other submissions.",cdc3b285e5
Do you ever give deadline extensions for homework in this course?,"No. We don’t give individual deadline extensions, and there are no late submissions once the homework form is closed. While the form is still open, you can still submit even if the listed deadline has passed.","No. We don't give individual deadline extensions, and once the homework submission form is closed you can no longer submit it — there are no late submissions. While the form is still open you can submit, even if the listed deadline has already passed.

Missing a homework won't affect your certificate: homework isn't mandatory, only passing the Capstone project is. Homework points only count toward your leaderboard rank, so you'll still appear on the leaderboard with your other submissions.",cdc3b285e5
"If the homework form is still open but the deadline passed, can I still submit it?","Yes. As long as the homework submission form is still open, you can submit even if the deadline has already passed.","No. We don't give individual deadline extensions, and once the homework submission form is closed you can no longer submit it — there are no late submissions. While the form is still open you can submit, even if the listed deadline has already passed.

Missing a homework won't affect your certificate: homework isn't mandatory, only passing the Capstone project is. Homework points only count toward your leaderboard rank, so you'll still appear on the leaderboard with your other submissions.",cdc3b285e5
Will missing one homework stop me from getting the certificate?,No. Missing one homework will not stop you from getting the certificate. Homework is not mandatory; you only need to pass the Capstone project to get the certificate.,"No. We don't give individual deadline extensions, and once the homework submission form is closed you can no longer submit it — there are no late submissions. While the form is still open you can submit, even if the listed deadline has already passed.

Missing a homework won't affect your certificate: homework isn't mandatory, only passing the Capstone project is. Homework points only count toward your leaderboard rank, so you'll still appear on the leaderboard with your other submissions.",cdc3b285e5
"Does homework count toward the certificate, or is it only for the leaderboard?","Homework does **not** count toward the certificate. You only need to **pass the Capstone project** to get the certificate.

Homework is **optional** and mainly counts toward your **leaderboard rank**.","No. We don't give individual deadline extensions, and once the homework submission form is closed you can no longer submit it — there are no late submissions. While the form is still open you can submit, even if the listed deadline has already passed.

Missing a homework won't affect your certificate: homework isn't mandatory, only passing the Capstone project is. Homework points only count toward your leaderboard rank, so you'll still appear on the leaderboard with your other submissions.",cdc3b285e5
Will the name I enter for the certificate be visible online or shared with anyone else?,No. The certificate name only appears on your certificate — it isn’t published online or shared with third parties. The public leaderboard uses a separate display name instead.,"No. The certificate name only appears on your certificate — it isn't published online or shared with third parties. The public leaderboard uses your separate display name instead, which is a random nickname (like “Lucid Elbakyan”) and anonymous by default.

You can set both in “Edit Course Profile”: the first field is your public nickname for the leaderboard, and the second is the official name printed on your certificate. This lets you keep your real name off the public leaderboard while still having it on the certificate.",651ba06b34
"Does the certificate name also show up on the public leaderboard, or is that separate?",No. The certificate name is separate and only appears on your certificate. The public leaderboard uses your separate display name/nickname instead.,"No. The certificate name only appears on your certificate — it isn't published online or shared with third parties. The public leaderboard uses your separate display name instead, which is a random nickname (like “Lucid Elbakyan”) and anonymous by default.

You can set both in “Edit Course Profile”: the first field is your public nickname for the leaderboard, and the second is the official name printed on your certificate. This lets you keep your real name off the public leaderboard while still having it on the certificate.",651ba06b34
Where do I change my public nickname versus the name that gets printed on the certificate?,"You change both in **“Edit Course Profile”**:

- **First field:** your **public nickname / display name** shown on the leaderboard
- **Second field:** the **official name** printed on your certificate

","No. The certificate name only appears on your certificate — it isn't published online or shared with third parties. The public leaderboard uses your separate display name instead, which is a random nickname (like “Lucid Elbakyan”) and anonymous by default.

You can set both in “Edit Course Profile”: the first field is your public nickname for the leaderboard, and the second is the official name printed on your certificate. This lets you keep your real name off the public leaderboard while still having it on the certificate.",651ba06b34
Can I keep my real name off the leaderboard but still have it on the certificate?,"Yes. You can use a separate public nickname for the leaderboard and keep your real name only on the certificate. The first field in “Edit Course Profile” is for your leaderboard display name, and the second field is the official name that will appear on your certificate.","No. The certificate name only appears on your certificate — it isn't published online or shared with third parties. The public leaderboard uses your separate display name instead, which is a random nickname (like “Lucid Elbakyan”) and anonymous by default.

You can set both in “Edit Course Profile”: the first field is your public nickname for the leaderboard, and the second is the official name printed on your certificate. This lets you keep your real name off the public leaderboard while still having it on the certificate.",651ba06b34
What’s the difference between the display name and the certificate name in Edit Course Profile?,"The **display name** is your public nickname shown on the **leaderboard**.  
The **certificate name** is the official name printed on your **certificate**.

In **Edit Course Profile**:
- **First field:** display/public nickname
- **Second field:** certificate name

So you can keep your real name off the public leaderboard while still using it on the certificate.","No. The certificate name only appears on your certificate — it isn't published online or shared with third parties. The public leaderboard uses your separate display name instead, which is a random nickname (like “Lucid Elbakyan”) and anonymous by default.

You can set both in “Edit Course Profile”: the first field is your public nickname for the leaderboard, and the second is the official name printed on your certificate. This lets you keep your real name off the public leaderboard while still having it on the certificate.",651ba06b34
Does the course certificate include how many hours the course took?,No. The certificate does not state a total number of course hours.,No. The certificate does not state a total number of hours.,5cc511f85b
Will the certificate mention the total number of course hours anywhere?,No. The certificate does not state a total number of course hours.,No. The certificate does not state a total number of hours.,5cc511f85b
"If I finish the course, does the certificate show course hours on it?",No. The certificate does not state a total number of course hours.,No. The certificate does not state a total number of hours.,5cc511f85b
Is there a number of hours listed on the certificate for this course?,No. The certificate does not state a total number of hours.,No. The certificate does not state a total number of hours.,5cc511f85b
Can I see the total duration or hours of the course on the certificate?,No. The certificate does not state a total number of hours.,No. The certificate does not state a total number of hours.,5cc511f85b
Why doesn't the course start with LangChain instead of building everything from scratch first?,"The course doesn’t start with LangChain because it first wants you to understand the core building blocks yourself: prompting, retrieval, indexing, and evaluation.

The idea is similar to learning HTML, CSS, and JavaScript before using React or Angular. Once you understand what the framework is automating, it’s much easier to use it well.","LangChain is a framework for building LLM-powered apps. In this course, we first build the core pieces ourselves: prompting, retrieval, indexing, and evaluation.

Think of it like learning HTML, CSS, and JavaScript before using React or Angular. Frameworks are easier to use well once you understand what they automate.",b7cdde6b25
"What’s the reason we’re learning prompting, retrieval, indexing, and evaluation before using a framework like LangChain?","Because the course wants you to understand the core building blocks first: prompting, retrieval, indexing, and evaluation. Once you know how those pieces work, a framework like LangChain is easier to use well, since it mostly automates or wraps those concepts.

It’s like learning HTML, CSS, and JavaScript before React or Angular.","LangChain is a framework for building LLM-powered apps. In this course, we first build the core pieces ourselves: prompting, retrieval, indexing, and evaluation.

Think of it like learning HTML, CSS, and JavaScript before using React or Angular. Frameworks are easier to use well once you understand what they automate.",b7cdde6b25
"Is LangChain skipped completely in this module, or just taught later after the basics?","LangChain is **not skipped completely**. The context says the course **starts by teaching the core pieces first**—prompting, retrieval, indexing, and evaluation—and then uses that foundation before frameworks like LangChain.

So it’s **taught later indirectly/after the basics**, rather than being the focus from the start.","LangChain is a framework for building LLM-powered apps. In this course, we first build the core pieces ourselves: prompting, retrieval, indexing, and evaluation.

Think of it like learning HTML, CSS, and JavaScript before using React or Angular. Frameworks are easier to use well once you understand what they automate.",b7cdde6b25
Why is it better to understand the core RAG pieces before moving to a higher-level tool?,"Because understanding the core RAG pieces first makes the framework easier to use well. The course builds prompting, retrieval, indexing, and evaluation by hand before using higher-level tools, similar to learning HTML/CSS/JavaScript before React or Angular.","LangChain is a framework for building LLM-powered apps. In this course, we first build the core pieces ourselves: prompting, retrieval, indexing, and evaluation.

Think of it like learning HTML, CSS, and JavaScript before using React or Angular. Frameworks are easier to use well once you understand what they automate.",b7cdde6b25
What’s the advantage of not relying on LangChain right away when building LLM apps?,"The advantage is that you learn the core building blocks first—prompting, retrieval, indexing, and evaluation—before using a framework that automates them.

That makes it easier to use LangChain well later, because you understand what it’s doing under the hood, similar to learning HTML/CSS/JavaScript before React or Angular.","LangChain is a framework for building LLM-powered apps. In this course, we first build the core pieces ourselves: prompting, retrieval, indexing, and evaluation.

Think of it like learning HTML, CSS, and JavaScript before using React or Angular. Frameworks are easier to use well once you understand what they automate.",b7cdde6b25
Why do I get an OpenAI API error about insufficient credits when I run `responses.create`?,"You’re likely seeing that error because your OpenAI account has **insufficient credits / quota**.

For `responses.create`, the typical fix is:

1. **Add credits** to your OpenAI account billing page.
2. Make sure you’re using a **model available to your account**.
3. If needed, **create a new API key** after adding credits and update it locally.

If the error is `insufficient_quota`, that’s a billing/quota issue rather than a normal rate-limit problem.","You may receive the following error when running the OpenAI `responses.create` command due to insufficient credits in your OpenAI account:

```
OpenAI API Error: Insufficient credits
```",f5df151c59
What does the `OpenAI API Error: Insufficient credits` message mean in `responses.create`?,"It means your OpenAI API account doesn’t have enough quota/credits to run `responses.create`.

In practice, you need to add billing credits to your OpenAI account, and you may also need to use a model available to your account and possibly recreate your API key afterward.","You may receive the following error when running the OpenAI `responses.create` command due to insufficient credits in your OpenAI account:

```
OpenAI API Error: Insufficient credits
```",f5df151c59
Is it a credit issue if `responses.create` fails with an OpenAI error?,"Yes — if `responses.create` fails with an OpenAI error like **“Insufficient credits”** or **quota exceeded / 429**, it’s usually a **credit/quota issue** with your OpenAI API account.

You may need to:
1. Add credits to your OpenAI account.
2. Make sure you’re using a model available to your account.
3. Possibly recreate your API key after adding credits.

","You may receive the following error when running the OpenAI `responses.create` command due to insufficient credits in your OpenAI account:

```
OpenAI API Error: Insufficient credits
```",f5df151c59
How can I fix the error from OpenAI when calling `responses.create`?,"If you get an error when calling `responses.create`, the fix depends on the provider:

- **OpenAI**: the error usually means **insufficient credits / quota**. Add funds to your OpenAI account and make sure your API key and model are valid.
- **OpenRouter**: set a **lower `max_output_tokens`** value, for example:

```python
response = client.responses.create(
    model=os.environ[""OPENAI_MODEL""],
    input=message_history,
    max_output_tokens=1024,
)
```

Also make sure your `.env` points to OpenRouter correctly and that your key has enough remaining credits.

If you want, I can help you check whether you’re using OpenAI or OpenRouter.","You may receive the following error when running the OpenAI `responses.create` command due to insufficient credits in your OpenAI account:

```
OpenAI API Error: Insufficient credits
```",f5df151c59
Why does my OpenAI `responses.create` request fail even though my code looks fine?,"Your request can fail even if the code is syntactically fine because of **account/model limits**, not code bugs.

The most likely cause is:

- **Insufficient credits/quota** on your OpenAI account, or
- If you’re using **OpenRouter**, not setting a **reasonable `max_output_tokens`**.

For OpenRouter in particular, `responses.create()` may be rejected with **402** unless you cap output tokens, because billing checks against the maximum possible output.

Try this:

```python
response = client.responses.create(
    model=os.environ[""OPENAI_MODEL""],
    input=message_history,
    max_output_tokens=1024,
)
```

Also make sure your `.env` is correct if you’re using OpenRouter:

```env
OPENAI_API_KEY=sk-or-v1-...
OPENAI_BASE_URL=https://openrouter.ai/api/v1
OPENAI_MODEL=openai/gpt-oss-120b:free
```

If you’re on direct OpenAI and still getting a quota-related error, then you likely need to add credits to your account.

","You may receive the following error when running the OpenAI `responses.create` command due to insufficient credits in your OpenAI account:

```
OpenAI API Error: Insufficient credits
```",f5df151c59
Why am I getting a 429 RateLimitError from OpenAI even though my code looks fine?,"You’re most likely seeing a **429 `RateLimitError` because of OpenAI quota/billing limits, not because your code is wrong**.

In the course context, this error often means:

- **Your account has insufficient quota** (`insufficient_quota`)
- There is **no free API usage**
- You may need to **add billing credits** and possibly **recreate your API key**

What to do:

1. Add credits to your OpenAI account (minimum around $5).
2. Make sure you’re using a model available to your account, such as `gpt-4o` or `gpt-4o-mini`.
3. If needed, create a new API key after enabling billing.
4. If you’re making many calls, also reduce request frequency or use retries with backoff.

If the error message says **`insufficient_quota`**, that’s a billing issue, **not a rate-limit bug in your code**.","```json
RateLimitError: Error code: 429 - {'error': {'message': 'You exceeded your current quota, please check your plan and billing details. For more information on this error, read the docs: [https://platform.openai.com/docs/guides/error-codes/api-errors.](https://platform.openai.com/docs/guides/error-codes/api-errors.)', 'type': 'insufficient_quota', 'param': None, 'code': 'insufficient_quota'}
```

The above errors are related to your OpenAI API account’s quota. There is no free usage of OpenAI’s API, so you will need to add funds using a credit card (see pay-as-you-go in the OpenAI settings at [platform.openai.com](http://platform.openai.com)). Once added, re-run your Python command and you should receive a successful return code.

Steps to resolve:

1. Add credits to your account [here](https://platform.openai.com/settings/organization/billing/overview) (min $5).
2. In `responses.create(model='gpt-4o', …)` specify one of the models available to you:

   <{IMAGE:image_1}>

3. You might need to recreate an API key after adding credits to your account and update it locally.",152af39a53
"Does OpenAI API actually have any free quota, or do I need to add a payment method first?","No. According to the course context, OpenAI’s API has **no free usage**. You need to **add funds / a payment method** (pay-as-you-go, minimum $5) to use it.

If you want to avoid paying, you can use one of the **free or low-cost OpenAI-compatible alternatives** listed in the course repo.","```json
RateLimitError: Error code: 429 - {'error': {'message': 'You exceeded your current quota, please check your plan and billing details. For more information on this error, read the docs: [https://platform.openai.com/docs/guides/error-codes/api-errors.](https://platform.openai.com/docs/guides/error-codes/api-errors.)', 'type': 'insufficient_quota', 'param': None, 'code': 'insufficient_quota'}
```

The above errors are related to your OpenAI API account’s quota. There is no free usage of OpenAI’s API, so you will need to add funds using a credit card (see pay-as-you-go in the OpenAI settings at [platform.openai.com](http://platform.openai.com)). Once added, re-run your Python command and you should receive a successful return code.

Steps to resolve:

1. Add credits to your account [here](https://platform.openai.com/settings/organization/billing/overview) (min $5).
2. In `responses.create(model='gpt-4o', …)` specify one of the models available to you:

   <{IMAGE:image_1}>

3. You might need to recreate an API key after adding credits to your account and update it locally.",152af39a53
What should I do when the error says I exceeded my current quota and billing details are needed?,"Add credits to your OpenAI account using pay-as-you-go billing, then rerun your command. The course notes say there’s no free usage of the OpenAI API, so you need to add at least $5, may need to recreate your API key afterward, and make sure you’re using a model available to your account.","```json
RateLimitError: Error code: 429 - {'error': {'message': 'You exceeded your current quota, please check your plan and billing details. For more information on this error, read the docs: [https://platform.openai.com/docs/guides/error-codes/api-errors.](https://platform.openai.com/docs/guides/error-codes/api-errors.)', 'type': 'insufficient_quota', 'param': None, 'code': 'insufficient_quota'}
```

The above errors are related to your OpenAI API account’s quota. There is no free usage of OpenAI’s API, so you will need to add funds using a credit card (see pay-as-you-go in the OpenAI settings at [platform.openai.com](http://platform.openai.com)). Once added, re-run your Python command and you should receive a successful return code.

Steps to resolve:

1. Add credits to your account [here](https://platform.openai.com/settings/organization/billing/overview) (min $5).
2. In `responses.create(model='gpt-4o', …)` specify one of the models available to you:

   <{IMAGE:image_1}>

3. You might need to recreate an API key after adding credits to your account and update it locally.",152af39a53
"If I add credits to my OpenAI account, do I also need to create a new API key afterward?","You may need to **recreate your API key after adding credits** and then update it locally.

","```json
RateLimitError: Error code: 429 - {'error': {'message': 'You exceeded your current quota, please check your plan and billing details. For more information on this error, read the docs: [https://platform.openai.com/docs/guides/error-codes/api-errors.](https://platform.openai.com/docs/guides/error-codes/api-errors.)', 'type': 'insufficient_quota', 'param': None, 'code': 'insufficient_quota'}
```

The above errors are related to your OpenAI API account’s quota. There is no free usage of OpenAI’s API, so you will need to add funds using a credit card (see pay-as-you-go in the OpenAI settings at [platform.openai.com](http://platform.openai.com)). Once added, re-run your Python command and you should receive a successful return code.

Steps to resolve:

1. Add credits to your account [here](https://platform.openai.com/settings/organization/billing/overview) (min $5).
2. In `responses.create(model='gpt-4o', …)` specify one of the models available to you:

   <{IMAGE:image_1}>

3. You might need to recreate an API key after adding credits to your account and update it locally.",152af39a53
How can I check which model I’m allowed to use in responses.create so I don’t keep hitting this error?,"Check your OpenAI account’s available models in the billing/settings dashboard, then use one of those model names in `responses.create(...)`.

From the context:
1. Go to your OpenAI billing/settings page and add credits if needed.
2. In `responses.create(model='...')`, choose a model that shows as available to you.
3. If you’re using OpenRouter, also make sure your `.env` points to the right base URL and a pinned model, e.g.:
   ```env
   OPENAI_BASE_URL=https://openrouter.ai/api/v1
   OPENAI_MODEL=openai/gpt-oss-120b:free
   ```

If you’re on OpenRouter, you can also check your key limits and remaining credits here:
https://openrouter.ai/settings/keys

I don’t know a direct API call from the provided context to list allowed models.","```json
RateLimitError: Error code: 429 - {'error': {'message': 'You exceeded your current quota, please check your plan and billing details. For more information on this error, read the docs: [https://platform.openai.com/docs/guides/error-codes/api-errors.](https://platform.openai.com/docs/guides/error-codes/api-errors.)', 'type': 'insufficient_quota', 'param': None, 'code': 'insufficient_quota'}
```

The above errors are related to your OpenAI API account’s quota. There is no free usage of OpenAI’s API, so you will need to add funds using a credit card (see pay-as-you-go in the OpenAI settings at [platform.openai.com](http://platform.openai.com)). Once added, re-run your Python command and you should receive a successful return code.

Steps to resolve:

1. Add credits to your account [here](https://platform.openai.com/settings/organization/billing/overview) (min $5).
2. In `responses.create(model='gpt-4o', …)` specify one of the models available to you:

   <{IMAGE:image_1}>

3. You might need to recreate an API key after adding credits to your account and update it locally.",152af39a53
How much money do I need to start using the OpenAI API for this course?,"You can start with **$5** if you want to use the OpenAI API, but the course notes say initial usage is usually **fractions of a cent**, so it should cost very little.","Using the OpenAI API for the course should cost very little. You can recharge starting from $5, but initial usage is usually fractions of one cent.",554d0eb78b
Will using the OpenAI API cost me a lot during the course?,"Using the OpenAI API for the course should cost very little. The context says you can start with as little as $5, and initial usage is usually fractions of a cent. Also, you don’t have to pay for OpenAI API to complete the course homeworks — free or low-cost alternatives are available.","Using the OpenAI API for the course should cost very little. You can recharge starting from $5, but initial usage is usually fractions of one cent.",554d0eb78b
What's the minimum recharge amount for OpenAI API credits?,You can recharge starting from **$5**.,"Using the OpenAI API for the course should cost very little. You can recharge starting from $5, but initial usage is usually fractions of one cent.",554d0eb78b
"Is the API usage in this module basically cheap, or should I expect real costs?","Using the OpenAI API in this course should cost very little. The context says initial usage is usually fractions of a cent, so it’s basically cheap for course work.

That said, in Module 3 the context also notes that token usage can add up fast in scheduled or looping workflows, so you should still monitor usage to avoid unexpected costs.","Using the OpenAI API for the course should cost very little. You can recharge starting from $5, but initial usage is usually fractions of one cent.",554d0eb78b
How expensive is it to follow the course with the OpenAI API?,"Using the OpenAI API for the course should cost **very little**. You can start by recharging with **$5**, and typical initial usage is usually **fractions of a cent**.","Using the OpenAI API for the course should cost very little. You can recharge starting from $5, but initial usage is usually fractions of one cent.",554d0eb78b
"Do I need to pay for the OpenAI API to finish the course homework, or are there free options I can use instead?","No, you don’t need to pay for the OpenAI API to finish the homework. The course says you can use free or low-cost alternatives from the course repo, and the homework is designed so you do not need a paid service.

You can also use other LLM providers or even run a model locally if you prefer.","No, you don't have to pay for this service in order to complete the course homeworks. You can use free or low-cost alternatives listed in the course GitHub repo.

See the course list of [OpenAI API alternatives](https://github.com/DataTalksClub/llm-zoomcamp/blob/main/awesome-llms.md#openai-api-alternatives).",85384a18e5
"If I don't want to subscribe to OpenAI, what alternatives are recommended in the course materials?","You don’t have to subscribe to OpenAI. The course materials recommend these alternatives instead:

- **Free or low-cost OpenAI API alternatives** listed in the course repo’s **Awesome LLMs** page.
- Other providers such as **Gemini, Groq, OpenRouter, Azure OpenAI**, or **local models**.
- Hosted OpenAI-compatible options like **DeepSeek, Z.ai, Mistral**.
- Running models locally with **Ollama, vLLM, or LM Studio**.
- Open-source models via **Hugging Face** like **Qwen** or **Llama**.

The course says you can use whichever provider is available and convenient for you, as long as it works with the code (often just needing a `base_url`, API key, and model name change).","No, you don't have to pay for this service in order to complete the course homeworks. You can use free or low-cost alternatives listed in the course GitHub repo.

See the course list of [OpenAI API alternatives](https://github.com/DataTalksClub/llm-zoomcamp/blob/main/awesome-llms.md#openai-api-alternatives).",85384a18e5
Can I complete all the homework in this course without paying for OpenAI API access?,"Yes. You can complete the homework without paying for OpenAI API access. The course says you can use free or low-cost alternatives, or even run a local model, so the homework is not tied to OpenAI.","No, you don't have to pay for this service in order to complete the course homeworks. You can use free or low-cost alternatives listed in the course GitHub repo.

See the course list of [OpenAI API alternatives](https://github.com/DataTalksClub/llm-zoomcamp/blob/main/awesome-llms.md#openai-api-alternatives).",85384a18e5
Where can I find the list of OpenAI API alternatives for the course?,"You can find the list in the course GitHub repo, in **Awesome LLMs**:

https://github.com/DataTalksClub/llm-zoomcamp/blob/main/awesome-llms.md#openai-api-alternatives","No, you don't have to pay for this service in order to complete the course homeworks. You can use free or low-cost alternatives listed in the course GitHub repo.

See the course list of [OpenAI API alternatives](https://github.com/DataTalksClub/llm-zoomcamp/blob/main/awesome-llms.md#openai-api-alternatives).",85384a18e5
Is it okay to use low-cost or free LLM providers instead of OpenAI for the assignments?,"Yes — it’s okay to use low-cost or free LLM providers instead of OpenAI for the assignments. The course is **not tied to OpenAI**.

You can use:
- free or low-cost alternatives from the course repo’s **Awesome LLMs** list
- OpenAI-compatible providers like **Groq, DeepSeek, OpenRouter, Gemini, Mistral, Z.ai**
- local models via **Ollama, LM Studio, vLLM**, etc.

In many cases, you only need to change the **base URL, API key, and model name**.","No, you don't have to pay for this service in order to complete the course homeworks. You can use free or low-cost alternatives listed in the course GitHub repo.

See the course list of [OpenAI API alternatives](https://github.com/DataTalksClub/llm-zoomcamp/blob/main/awesome-llms.md#openai-api-alternatives).",85384a18e5
Why does the course use uv instead of pip and virtualenv?,"The course uses **uv** because it’s **fast and convenient**. It’s an all-in-one tool that replaces **pip, virtualenv, pip-tools, pipx, poetry, pyenv, and twine**, so you can manage Python versions, virtual environments, and dependencies with one fast command and reproducible lockfiles.

You **don’t have to use uv** — **pip and virtualenv still work fine** — but uv makes setup simpler and faster, which is why the lessons use it.","The course uses uv because it's fast and convenient. It's an all-in-one tool that replaces pip, virtualenv, pip-tools, pipx, poetry, pyenv, and twine — instead of juggling several tools, you manage Python versions, virtual environments, and dependencies through one fast command with reproducible lockfiles.

You're not required to use it — pip and virtualenv still work fine — but uv makes the setup simpler and faster, which is why the lessons use it.

Official docs: https://docs.astral.sh/uv/",f81dea8f7e
"Do I have to use uv for the setup, or can I stick with pip and virtualenv?",No — you don’t have to use `uv`. You can stick with `pip` and `virtualenv` if you prefer; the course just uses `uv` because it’s faster and simpler for setup.,"The course uses uv because it's fast and convenient. It's an all-in-one tool that replaces pip, virtualenv, pip-tools, pipx, poetry, pyenv, and twine — instead of juggling several tools, you manage Python versions, virtual environments, and dependencies through one fast command with reproducible lockfiles.

You're not required to use it — pip and virtualenv still work fine — but uv makes the setup simpler and faster, which is why the lessons use it.

Official docs: https://docs.astral.sh/uv/",f81dea8f7e
"What makes uv better than using separate tools like pip, pyenv, and poetry?","uv is better because it’s **fast** and **all-in-one**.

Instead of using separate tools like `pip`, `virtualenv`, `pip-tools`, `pipx`, `poetry`, `pyenv`, and `twine`, `uv` lets you:

- manage Python versions
- create and use virtual environments
- install dependencies
- work with reproducible lockfiles

So the main advantages are **simplicity** and **speed**: one tool instead of juggling several, while still supporting the same basic workflow.

If you want, I can also compare `uv` vs `pip + pyenv + poetry` in a simple table.","The course uses uv because it's fast and convenient. It's an all-in-one tool that replaces pip, virtualenv, pip-tools, pipx, poetry, pyenv, and twine — instead of juggling several tools, you manage Python versions, virtual environments, and dependencies through one fast command with reproducible lockfiles.

You're not required to use it — pip and virtualenv still work fine — but uv makes the setup simpler and faster, which is why the lessons use it.

Official docs: https://docs.astral.sh/uv/",f81dea8f7e
"Is uv just a replacement for pip, or does it handle virtualenv and Python versions too?","It’s more than a replacement for `pip`. According to the course context, `uv` is an all-in-one tool that can replace:

- `pip`
- `virtualenv`
- `pip-tools`
- `pipx`
- `poetry`
- `pyenv`
- `twine`

So yes, it handles **virtual environments** and **Python versions** too, not just package installation.","The course uses uv because it's fast and convenient. It's an all-in-one tool that replaces pip, virtualenv, pip-tools, pipx, poetry, pyenv, and twine — instead of juggling several tools, you manage Python versions, virtual environments, and dependencies through one fast command with reproducible lockfiles.

You're not required to use it — pip and virtualenv still work fine — but uv makes the setup simpler and faster, which is why the lessons use it.

Official docs: https://docs.astral.sh/uv/",f81dea8f7e
Why are the lessons built around uv if the older Python tools still work?,"The lessons use `uv` because it’s faster and more convenient, not because the older tools are broken. `uv` is an all-in-one tool that can replace `pip`, `virtualenv`, `pip-tools`, `pipx`, `poetry`, `pyenv`, and `twine`, so the course can manage Python versions, virtual environments, and dependencies with one fast command and reproducible lockfiles.

You do not have to use it — `pip` and `virtualenv` still work fine — but `uv` makes setup simpler and faster, which is why the lessons are built around it.","The course uses uv because it's fast and convenient. It's an all-in-one tool that replaces pip, virtualenv, pip-tools, pipx, poetry, pyenv, and twine — instead of juggling several tools, you manage Python versions, virtual environments, and dependencies through one fast command with reproducible lockfiles.

You're not required to use it — pip and virtualenv still work fine — but uv makes the setup simpler and faster, which is why the lessons use it.

Official docs: https://docs.astral.sh/uv/",f81dea8f7e
Why does my Jupyter notebook keep saying my OPENAI_API_KEY is missing?,"Make sure you installed and used `python-dotenv`:

```bash
pip install python-dotenv
```

Then load the `.env` file in your notebook before creating the OpenAI client:

```python
from dotenv import load_dotenv

load_dotenv()
```

Also check that the variable name in `.env` is exactly `OPENAI_API_KEY`.","Make sure you installed and used `python-dotenv`.

```bash
pip install python-dotenv
```

Then load the `.env` file in the notebook before creating the OpenAI client:

```python
from dotenv import load_dotenv

load_dotenv()
```

Also check that the variable name in `.env` is exactly `OPENAI_API_KEY`.",86d99bbf21
Do I need python-dotenv to read my .env file in the notebook?,"Yes — in the course, you should use `python-dotenv` to read your `.env` file in the notebook.

Typical setup:

```bash
pip install python-dotenv
```

Then in your notebook:

```python
from dotenv import load_dotenv

load_dotenv()
```

Also make sure the key name in `.env` is exactly:

```env
OPENAI_API_KEY=...
```

If you want, I can also show you a minimal notebook example for loading and checking the key.","Make sure you installed and used `python-dotenv`.

```bash
pip install python-dotenv
```

Then load the `.env` file in the notebook before creating the OpenAI client:

```python
from dotenv import load_dotenv

load_dotenv()
```

Also check that the variable name in `.env` is exactly `OPENAI_API_KEY`.",86d99bbf21
Where should I call load_dotenv() before creating the OpenAI client?,"Call `load_dotenv()` **in the notebook before you create the `OpenAI` client**.

Example:

```python
from dotenv import load_dotenv
load_dotenv()

from openai import OpenAI
client = OpenAI()
```

The context specifically says to load the `.env` file **before creating the OpenAI client**.","Make sure you installed and used `python-dotenv`.

```bash
pip install python-dotenv
```

Then load the `.env` file in the notebook before creating the OpenAI client:

```python
from dotenv import load_dotenv

load_dotenv()
```

Also check that the variable name in `.env` is exactly `OPENAI_API_KEY`.",86d99bbf21
What should I install if the API key from .env isn't being picked up?,"Install `python-dotenv`:

```bash
pip install python-dotenv
```

If you're using `uv`, you can also do:

```bash
uv add python-dotenv
```","Make sure you installed and used `python-dotenv`.

```bash
pip install python-dotenv
```

Then load the `.env` file in the notebook before creating the OpenAI client:

```python
from dotenv import load_dotenv

load_dotenv()
```

Also check that the variable name in `.env` is exactly `OPENAI_API_KEY`.",86d99bbf21
Could the problem be that my variable name in .env is not exactly OPENAI_API_KEY?,"Yes — the variable name in your `.env` file must be exactly `OPENAI_API_KEY`.

If it’s spelled differently, `os.getenv(""OPENAI_API_KEY"")` won’t find it. Also make sure you load the `.env` file first with `python-dotenv`:

```python
from dotenv import load_dotenv
load_dotenv()
```

If you want, I can help you check your `.env` setup.","Make sure you installed and used `python-dotenv`.

```bash
pip install python-dotenv
```

Then load the `.env` file in the notebook before creating the OpenAI client:

```python
from dotenv import load_dotenv

load_dotenv()
```

Also check that the variable name in `.env` is exactly `OPENAI_API_KEY`.",86d99bbf21
